,Job,Minor Category,Major Category
200,falconer,Sports,Non_Business
201,farmer,Agriculture,Non_Business
202,financier,Finance_Econ,Business
203,firefighter,Police,Military
204,fisherman,LowStat,Low_Status
205,flutist,Arts,Non_Business
206,football player,Sports,Non_Business
207,foreman,Other_Unsure,Non_Business
208,ecologist,Academia,Non_Business
209,economist,Finance_Econ,Business
210,editor,Literary,Non_Business
211,educator,Academia,Non_Business
212,electrician,Sciences,Non_Business
213,emperor,Government,Non_Business
214,empress,Government,Non_Business
215,engineer,Sciences,Non_Business
216,entertainer,Arts,Non_Business
217,entomologist,Medical,Non_Business
218,entrepreneur,Business,Business
219,executive,Business,Business
220,explorer,Sports,Non_Business
221,exporter,International,Non_Business
222,exterminator,LowStat,Low_Status
223,dancer,Arts,Non_Business
224,dentist,Medical,Non_Business
225,deputy,Other_Unsure,Non_Business
226,dermatologist,Medical,Non_Business
227,designer,Arts,Non_Business
228,detective,Police,Military
229,dictator,Government,Non_Business
230,director,Other_Unsure,Non_Business
231,disc jockey,Arts,Non_Business
232,diver,Sports,Non_Business
233,doctor,Medical,Non_Business
234,doorman,LowStat,Low_Status
235,driver,LowStat,Low_Status
236,drummer,Arts,Non_Business
237,dry cleaner,LowStat,Low_Status
238,cab driver,LowStat,Low_Status
239,calligrapher,Arts,Non_Business
240,captain,Other_Unsure,Non_Business
241,cardiologist,Medical,Non_Business
242,caregiver,Medical,Non_Business
243,carpenter,Constructions,Low_Status
244,cartographer,Academia,Non_Business
245,cartoonist,Arts,Non_Business
246,cashier,Finance_Econ,Business
247,catcher,Other_Unsure,Non_Business
248,caterer,Culinary,Non_Business
249,cellist,Arts,Non_Business
250,chaplain,Religion,Non_Business
251,chauffeur,Travel,Non_Business
252,chef,Culinary,Non_Business
253,chemist,Sciences,Non_Business
254,clergyman,Religion,Non_Business
255,clergywoman,Religion,Non_Business
256,clerk,LowStat,Low_Status
257,coach,Sports,Non_Business
258,cobbler,Artisan,Non_Business
259,composer,Arts,Non_Business
260,concierge,Travel,Non_Business
261,consul,International,Non_Business
262,contractor,Business,Business
263,cook,Culinary,Non_Business
264,cop,Police,Military
265,coroner,Police,Military
266,courier,Travel,Non_Business
267,cryptographer,Tech,Non_Business
268,custodian,LowStat,Low_Status
269,babysitter,LowStat,Low_Status
270,baker,Culinary,Non_Business
271,ballerina,Arts,Non_Business
272,banker,Business,Business
273,barber,Religion,Non_Business
274,baseball player,Sports,Non_Business
275,basketball player,Sports,Non_Business
276,bellhop,LowStat,Low_Status
277,biologist,Sciences,Non_Business
278,blacksmith,Artisan,Non_Business
279,bookkeeper,LowStat,Low_Status
280,bowler,Sports,Non_Business
281,builder,Constructions,Low_Status
282,butcher,Agriculture,Non_Business
283,butler,LowStat,Low_Status
284,accountant,Finance_Econ,Business
285,actor,Arts,Non_Business
286,actress,Arts,Non_Business
287,actuary,Finance_Econ,Business
288,advisor,Other_Unsure,Non_Business
289,aide,Other_Unsure,Non_Business
290,ambassador,International,Non_Business
291,animator,Tech,Non_Business
292,archer,Sports,Non_Business
293,artist,Arts,Non_Business
294,astronaut,Sciences,Non_Business
295,astronomer,Sciences,Non_Business
296,athlete,Sports,Non_Business
297,attorney,Legal,Legal
298,auctioneer,Business,Business
299,author,Literary,Non_Business
300,business,Business,Business
301,executive,Business,Business
302,consulting,Business,Business
303,Army,Military,Military
304,Navy,Military,Military
305,Marine,Military,Military
306,Air Force,Military,Military
307,National Guard,Military,Military
308,Guard,Police,Military
309,war,Military,Military
310,War,Military,Military
311,admiral,Military,Military
312,lieutenant,Military,Military
313,mercantile,Business,Business
314,defense,Military,Military
315,infantry,Military,Military
316,infantryman,Military,Military
317,analyst,Other_Unsure,Non_Business
318,financial analyst,Finance_Econ,Business
